transaction_id,client_id,produit_id,agence_id,date_transaction,montant,devise,taux_change_eur,type_operation,statut,solde_avant,is_anomalie,score_credit_client,segment_id,segment_client,produit,categorie,agence
TXN000420,CLI0110,4,5,2023-11-06 14:34:00,83.25,CHF,0.97,Credit,Complete,15519.02,false,629.0,3,Standard,Credit Consommation,Paiement CB,Toulouse-Capitole
TXN001683,CLI0080,13,7,2024-02-18 08:14:00,-642.99,USD,1.08,Debit,En attente,36036.25,false,645.0,1,Premium,Credit Consommation,Prelevement,Paris-Centre
TXN001946,CLI0054,14,2,2022-09-24 14:46:00,-658.41,USD,1.08,Debit,Complete,32208.9,true,347.0,3,Standard,Credit Immobilier,Remboursement credit,Bordeaux-Meriadeck
TXN001726,CLI0036,6,1,2024-08-08 12:19:00,962.1,MAD,10.85,Credit,Complete,14957.42,false,572.0,2,Risque,Compte Epargne,Remboursement credit,Marseille-Vieux-Port
TXN001963,CLI0096,15,3,2022-05-02 03:39:00,-7100.94,EUR,1.0,Debit,Complete,39831.11,true,710.0,3,Standard,PEA,Virement international,Lyon-Part-Dieu
TXN000886,CLI0128,16,1,2024-05-12 03:07:00,1385.72,MAD,10.85,Credit,Complete,1161.31,false,683.0,3,Standard,Compte Epargne,Virement,Marseille-Vieux-Port
TXN001448,CLI0141,17,4,2023-12-07 13:40:03,99999.99,EUR,1.0,Credit,Complete,40456.23,true,726.0,1,Premium,Compte Courant,Remboursement credit,Lille-Grand-Place
TXN001458,CLI0137,18,1,2023-02-04 06:12:00,-237.86,EUR,1.0,Debit,Rejete,15778.59,false,725.0,1,Premium,Credit Immobilier,Paiement CB,Marseille-Vieux-Port
TXN001369,CLI0026,10,4,2022-03-25 09:58:00,-2639.99,USD,1.08,Debit,Complete,2697.47,false,699.0,3,Standard,PEA,Remboursement credit,Lille-Grand-Place
TXN001394,CLI0041,19,2,2023-01-03 06:52:00,-120.35,USD,1.08,Debit,Complete,22528.4,false,643.0,3,Standard,Credit Auto,Retrait DAB,Bordeaux-Meriadeck
TXN001278,CLI0122,20,8,2023-10-06 03:29:00,307.37,EUR,1.0,Credit,Complete,25404.97,false,824.0,1,Premium,PEA,Virement,Nantes-Commerce
TXN000663,CLI0020,20,2,2024-06-30 21:07:00,1091.33,CHF,0.97,Credit,Complete,41973.38,false,660.0,3,Standard,PEA,Virement,Bordeaux-Meriadeck
TXN001869,CLI0029,21,7,2022-05-21 15:53:00,-68.55,EUR,1.0,Debit,Complete,49164.19,false,696.0,3,Standard,Credit Consommation,Depot especes,Paris-Centre
TXN001810,CLI0097,1,4,2022-09-16 03:20:00,2734.98,USD,1.08,Credit,Complete,6932.66,true,397.0,2,Risque,Compte Epargne,Depot especes,Lille-Grand-Place
TXN000888,CLI0121,22,1,2024-04-30 23:19:00,860.29,GBP,0.86,Credit,Complete,38753.21,false,645.0,1,Premium,Compte Epargne,Prelevement,Marseille-Vieux-Port
TXN001557,CLI0022,1,5,2024-10-20 21:52:00,1791.77,EUR,1.0,Credit,Complete,25283.87,false,787.0,3,Standard,Compte Epargne,Depot especes,Toulouse-Capitole
TXN000334,CLI0020,23,2,2023-04-02 16:25:00,189.39,EUR,1.0,Credit,Complete,44369.88,false,660.0,3,Standard,Credit Auto,Paiement CB,Bordeaux-Meriadeck
TXN001842,CLI0131,17,1,2023-03-05 11:15:00,-2405.51,EUR,1.0,Debit,Complete,27273.18,false,838.0,1,Premium,Compte Courant,Remboursement credit,Marseille-Vieux-Port
TXN001160,CLI0146,18,5,2022-02-26 22:38:00,255.59,CHF,0.97,Credit,Rejete,10838.69,false,583.0,3,Standard,Credit Immobilier,Paiement CB,Toulouse-Capitole
TXN001311,CLI0046,13,2,2024-01-26 23:11:00,500.52,USD,1.08,Credit,Complete,16341.35,false,841.0,1,Premium,Credit Consommation,Prelevement,Bordeaux-Meriadeck
TXN000947,CLI0036,13,1,2024-01-24 11:12:00,1062.22,EUR,1.0,Credit,Complete,29472.01,false,572.0,2,Risque,Credit Consommation,Prelevement,Marseille-Vieux-Port
TXN000053,CLI0106,24,8,2024-03-27 13:46:00,-941.67,GBP,0.86,Debit,Complete,7716.68,false,652.0,3,Standard,Assurance Vie,Virement international,Nantes-Commerce
TXN001762,CLI0065,25,2,2023-10-14 23:56:00,-7199.72,EUR,1.0,Debit,Complete,7191.04,true,645.0,3,Standard,Livret A,Virement international,Bordeaux-Meriadeck
TXN000837,CLI0096,10,3,2022-08-11 03:04:00,1119.97,EUR,1.0,Credit,Complete,14182.13,false,710.0,3,Standard,PEA,Remboursement credit,Lyon-Part-Dieu
TXN001817,CLI0036,26,1,2022-08-25 16:20:00,4016.18,EUR,1.0,Credit,Complete,16865.81,false,572.0,2,Risque,Credit Auto,Virement international,Marseille-Vieux-Port
TXN000464,CLI0028,17,3,2022-05-06 02:13:00,2460.25,EUR,1.0,Credit,Complete,33077.98,false,667.0,3,Standard,Compte Courant,Remboursement credit,Lyon-Part-Dieu
TXN000917,CLI0045,14,2,2023-10-23 18:08:00,-2065.8,USD,1.08,Debit,Complete,10056.21,false,704.0,3,Standard,Credit Immobilier,Remboursement credit,Bordeaux-Meriadeck
TXN001905,CLI0028,27,3,2024-09-16 09:09:00,-80.27,EUR,1.0,Debit,Complete,15449.22,false,667.0,3,Standard,Assurance Vie,Paiement CB,Lyon-Part-Dieu
TXN000219,CLI0061,28,1,2022-05-03 04:45:00,-875.48,EUR,1.0,Debit,En attente,26035.99,true,341.0,2,Risque,Credit Consommation,Remboursement credit,Marseille-Vieux-Port
TXN001196,CLI0050,26,3,2024-04-16 11:41:00,-2593.81,CHF,0.97,Debit,Complete,32646.65,false,666.0,3,Standard,Credit Auto,Virement international,Lyon-Part-Dieu
TXN001542,CLI0113,29,3,2024-03-17 13:52:00,-91.48,GBP,0.86,Debit,Complete,41551.58,false,643.0,3,Standard,Livret A,Paiement CB,Lyon-Part-Dieu
TXN000147,CLI0035,10,3,2023-02-21 10:41:00,-283.26,EUR,1.0,Debit,Complete,36256.78,false,600.0,3,Standard,PEA,Remboursement credit,Lyon-Part-Dieu
TXN000320,CLI0113,6,3,2022-03-05 15:10:00,-1623.73,EUR,1.0,Debit,Complete,42488.43,false,643.0,3,Standard,Compte Epargne,Remboursement credit,Lyon-Part-Dieu
TXN000133,CLI0076,15,3,2023-03-25 04:30:00,1394.85,EUR,1.0,Credit,Complete,27506.8,true,326.0,2,Risque,PEA,Virement international,Lyon-Part-Dieu
TXN001939,CLI0048,30,5,2024-07-07 13:27:00,-140.32,MAD,10.85,Debit,Complete,7276.46,false,670.0,3,Standard,Compte Epargne,Paiement CB,Toulouse-Capitole
TXN000685,CLI0142,31,5,2022-02-14 05:53:00,-145.66,EUR,1.0,Debit,Complete,39391.96,false,676.0,3,Standard,Credit Immobilier,Retrait DAB,Toulouse-Capitole
TXN001752,CLI0045,4,2,2023-03-08 01:05:00,-471.95,EUR,1.0,Debit,Complete,27850.82,false,704.0,3,Standard,Credit Consommation,Paiement CB,Bordeaux-Meriadeck
TXN001247,CLI0067,6,7,2023-08-08 14:01:00,1364.35,EUR,1.0,Credit,Complete,5723.41,true,337.0,2,Risque,Compte Epargne,Remboursement credit,Paris-Centre
TXN001403,CLI0057,3,6,2023-10-06 03:29:00,-2176.71,EUR,1.0,Debit,Complete,34098.81,false,435.0,2,Risque,PEA,Prelevement,Nice-Massena
TXN000679,CLI0112,15,1,2022-10-26 04:30:00,-2607.66,EUR,1.0,Debit,Rejete,25932.26,false,636.0,3,Standard,PEA,Virement international,Marseille-Vieux-Port
TXN000212,CLI0020,5,2,2024-01-08 01:31:00,-2585.11,EUR,1.0,Debit,Complete,5234.96,false,660.0,3,Standard,Credit Immobilier,Interets,Bordeaux-Meriadeck
TXN000383,CLI0140,32,1,2023-05-28 12:53:00,87.22,EUR,1.0,Credit,Complete,48751.11,false,609.0,3,Standard,Credit Consommation,Interets,Marseille-Vieux-Port
TXN001981,CLI0082,15,7,2024-03-13 05:35:00,-1440.39,EUR,1.0,Debit,Complete,5403.85,false,813.0,1,Premium,PEA,Virement international,Paris-Centre
TXN001527,CLI0090,28,8,2023-10-06 03:29:00,1982.71,GBP,0.86,Credit,Complete,28486.62,false,682.0,3,Standard,Credit Consommation,Remboursement credit,Nantes-Commerce
TXN000010,CLI0078,13,1,2022-08-31 17:48:00,1277.71,MAD,10.85,Credit,Complete,19080.86,false,647.0,3,Standard,Credit Consommation,Prelevement,Marseille-Vieux-Port
TXN001971,CLI0037,33,4,2024-05-21 03:28:00,-2435.52,CHF,0.97,Debit,Complete,8001.13,false,622.0,3,Standard,Compte Courant,Virement,Lille-Grand-Place
TXN001461,CLI0082,34,7,2023-12-08 12:07:00,-611.64,EUR,1.0,Debit,Complete,29668.5,false,813.0,1,Premium,Assurance Vie,Depot especes,Paris-Centre
TXN001048,CLI0030,35,3,2024-08-27 22:21:00,2540.3,EUR,1.0,Credit,Complete,49038.65,true,391.0,2,Risque,Livret A,Interets,Lyon-Part-Dieu
TXN000027,CLI0129,36,7,2024-06-20 03:33:00,-7301.45,GBP,0.86,Debit,Complete,32773.59,true,573.0,2,Risque,Credit Immobilier,Virement international,Paris-Centre
TXN001732,CLI0144,15,7,2023-12-16 09:26:00,-5328.18,EUR,1.0,Debit,Complete,43745.48,true,361.0,2,Risque,PEA,Virement international,Paris-Centre
TXN000003,CLI0049,37,3,2024-04-12 15:35:00,2286.59,EUR,1.0,Credit,Complete,960.44,false,593.0,3,Standard,Credit Auto,Prelevement,Lyon-Part-Dieu
TXN000469,CLI0033,38,3,2022-02-02 04:46:00,2660.42,EUR,1.0,Credit,Complete,32147.92,false,584.0,3,Standard,Credit Immobilier,Depot especes,Lyon-Part-Dieu
TXN001641,CLI0026,39,4,2024-03-05 03:38:00,-2959.53,USD,1.08,Debit,Complete,35237.56,false,699.0,3,Standard,PEA,Interets,Lille-Grand-Place
TXN000293,CLI0118,40,4,2024-07-06 02:54:00,-1520.45,GBP,0.86,Debit,Complete,986.68,false,641.0,3,Standard,Credit Auto,Interets,Lille-Grand-Place
TXN000192,CLI0106,20,8,2022-09-17 22:55:03,-441.44,MAD,10.85,Debit,Complete,38097.53,false,652.0,3,Standard,PEA,Virement,Nantes-Commerce
TXN000434,CLI0115,8,5,2022-08-29 04:12:00,21.7,EUR,1.0,Credit,Complete,42785.01,false,709.0,3,Standard,Compte Courant,Paiement CB,Toulouse-Capitole
TXN001885,CLI0100,16,4,2023-10-06 03:29:00,2967.53,EUR,1.0,Credit,Complete,12974.86,false,656.0,3,Standard,Compte Epargne,Virement,Lille-Grand-Place
TXN000918,CLI0079,22,7,2024-08-02 17:11:00,1159.1,EUR,1.0,Credit,Complete,26375.91,false,689.0,3,Standard,Compte Epargne,Prelevement,Paris-Centre
TXN000087,CLI0100,25,4,2022-02-03 11:50:00,-726.96,EUR,1.0,Debit,Complete,36785.83,false,656.0,3,Standard,Livret A,Virement international,Lille-Grand-Place
TXN000310,CLI0040,41,6,2023-10-23 19:03:00,2332.3,EUR,1.0,Credit,Complete,28676.58,false,491.0,2,Risque,Assurance Vie,Virement,Nice-Massena
TXN001126,CLI0124,40,5,2023-01-20 20:55:00,2460.12,GBP,0.86,Credit,Rejete,22714.36,false,585.0,3,Standard,Credit Auto,Interets,Toulouse-Capitole
TXN000694,CLI0046,35,2,2022-06-05 11:57:00,293.13,EUR,1.0,Credit,Complete,46337.64,false,841.0,1,Premium,Livret A,Interets,Bordeaux-Meriadeck
TXN001168,CLI0047,31,3,2022-07-18 21:58:00,-94.24,MAD,10.85,Debit,En attente,35347.74,true,397.0,2,Risque,Credit Immobilier,Retrait DAB,Lyon-Part-Dieu
TXN000361,CLI0131,8,1,2022-09-20 01:33:00,-403.65,EUR,1.0,Debit,Complete,19746.47,false,838.0,1,Premium,Compte Courant,Paiement CB,Marseille-Vieux-Port
TXN001729,CLI0070,10,8,2024-08-09 14:05:00,374.23,EUR,1.0,Credit,Complete,34827.68,false,645.0,2,Risque,PEA,Remboursement credit,Nantes-Commerce
TXN001928,CLI0028,7,2,2022-06-02 00:20:00,-2581.55,EUR,1.0,Debit,Complete,3656.29,false,667.0,3,Standard,Livret A,Remboursement credit,Bordeaux-Meriadeck
TXN000524,CLI0006,30,5,2022-02-15 07:53:00,474.78,EUR,1.0,Credit,Complete,32822.45,false,620.0,3,Standard,Compte Epargne,Paiement CB,Toulouse-Capitole
TXN000112,CLI0111,21,7,2024-01-20 12:23:00,-183.47,CHF,0.97,Debit,Complete,14501.22,false,645.0,3,Standard,Credit Consommation,Depot especes,Paris-Centre
TXN001381,CLI0122,42,8,2023-12-14 09:41:00,-711.73,EUR,1.0,Debit,Complete,48179.06,false,824.0,1,Premium,Assurance Vie,Prelevement,Nantes-Commerce
TXN000619,CLI0111,43,7,2023-08-19 01:31:00,-88888.0,GBP,0.86,Debit,Complete,3129.16,true,645.0,3,Standard,Credit Auto,Remboursement credit,Paris-Centre
TXN001652,CLI0113,32,3,2023-05-10 15:32:00,837.81,EUR,1.0,Credit,Complete,28556.77,false,643.0,3,Standard,Credit Consommation,Interets,Lyon-Part-Dieu
TXN000775,CLI0053,44,7,2023-07-06 20:44:00,1954.44,EUR,1.0,Credit,Complete,7759.22,false,645.0,3,Standard,Credit Immobilier,Prelevement,Paris-Centre
TXN000317,CLI0040,41,6,2023-11-11 01:05:00,-266.08,EUR,1.0,Debit,Complete,28790.62,false,491.0,2,Risque,Assurance Vie,Virement,Nice-Massena
TXN001770,CLI0041,1,2,2022-08-28 02:20:00,2775.98,EUR,1.0,Credit,Complete,7666.57,false,643.0,3,Standard,Compte Epargne,Depot especes,Bordeaux-Meriadeck
TXN000765,CLI0104,31,8,2023-05-09 12:31:00,165.29,EUR,1.0,Credit,Complete,18831.04,false,645.0,3,Standard,Credit Immobilier,Retrait DAB,Nantes-Commerce
TXN000687,CLI0112,3,1,2022-09-25 06:12:00,1621.04,EUR,1.0,Credit,Complete,48851.38,false,636.0,3,Standard,PEA,Prelevement,Marseille-Vieux-Port
TXN001399,CLI0006,45,5,2024-02-09 17:29:00,465.08,EUR,1.0,Credit,Complete,6426.27,false,620.0,3,Standard,Livret A,Retrait DAB,Toulouse-Capitole
TXN000233,CLI0045,46,2,2023-10-14 23:44:00,1108.41,EUR,1.0,Credit,En attente,28223.96,false,704.0,3,Standard,PEA,Depot especes,Bordeaux-Meriadeck
TXN000836,CLI0015,11,3,2022-06-08 22:29:00,249.16,EUR,1.0,Credit,Complete,8324.74,false,648.0,3,Standard,Compte Epargne,Retrait DAB,Lyon-Part-Dieu
TXN001595,CLI0100,2,4,2023-06-07 10:45:00,-324.96,GBP,0.86,Debit,Complete,27311.4,false,656.0,3,Standard,Credit Consommation,Retrait DAB,Lille-Grand-Place
TXN000262,CLI0055,47,2,2023-02-28 08:41:00,-216.56,EUR,1.0,Debit,Complete,6702.47,false,703.0,3,Standard,Compte Courant,Retrait DAB,Bordeaux-Meriadeck
TXN001715,CLI0131,30,1,2023-04-15 18:53:00,365.65,USD,1.08,Credit,Complete,36551.83,false,838.0,1,Premium,Compte Epargne,Paiement CB,Marseille-Vieux-Port
TXN000820,CLI0140,22,1,2022-04-02 03:34:00,-925.38,EUR,1.0,Debit,Complete,45617.13,false,609.0,3,Standard,Compte Epargne,Prelevement,Marseille-Vieux-Port
TXN000357,CLI0088,42,2,2023-01-01 15:20:00,1092.94,EUR,1.0,Credit,Complete,37333.2,true,413.0,3,Standard,Assurance Vie,Prelevement,Bordeaux-Meriadeck
TXN001969,CLI0115,9,5,2022-07-20 18:08:00,-1610.33,EUR,1.0,Debit,Complete,18681.61,false,709.0,3,Standard,Credit Consommation,Virement international,Toulouse-Capitole
TXN001617,CLI0061,46,1,2022-06-28 04:27:00,2649.48,EUR,1.0,Credit,Complete,48173.27,true,341.0,2,Risque,PEA,Depot especes,Marseille-Vieux-Port
TXN000757,CLI0057,48,6,2022-10-29 19:18:00,480.32,USD,1.08,Credit,Complete,15513.68,false,435.0,2,Risque,Compte Courant,Interets,Nice-Massena
TXN000017,CLI0069,49,1,2022-12-25 15:33:00,1971.95,USD,1.08,Credit,Rejete,21850.66,false,647.0,3,Standard,Credit Immobilier,Virement,Marseille-Vieux-Port
TXN001477,CLI0148,17,4,2022-11-12 04:20:00,-1572.54,EUR,1.0,Debit,Complete,26653.82,false,713.0,3,Standard,Compte Courant,Remboursement credit,Lille-Grand-Place
TXN001313,CLI0034,31,2,2024-01-23 18:50:03,-154.05,GBP,0.86,Debit,Complete,35700.14,false,457.0,2,Risque,Credit Immobilier,Retrait DAB,Bordeaux-Meriadeck
TXN001872,CLI0122,46,8,2022-02-16 06:43:00,588.76,EUR,1.0,Credit,Complete,11310.0,false,824.0,1,Premium,PEA,Depot especes,Nantes-Commerce
TXN001244,CLI0127,50,6,2024-04-29 17:04:00,168.38,USD,1.08,Credit,Complete,24624.11,false,645.0,3,Standard,Credit Consommation,Virement,Nice-Massena
TXN001739,CLI0098,3,2,2023-04-03 18:03:00,-2477.73,EUR,1.0,Debit,Complete,38961.38,false,580.0,3,Standard,PEA,Prelevement,Bordeaux-Meriadeck
TXN001347,CLI0003,9,3,2024-02-03 10:00:00,1015.86,USD,1.08,Credit,Complete,16692.64,false,587.0,3,Standard,Credit Consommation,Virement international,Lyon-Part-Dieu
TXN000583,CLI0137,51,1,2024-03-06 00:58:00,481.16,GBP,0.86,Credit,Complete,46822.49,false,725.0,1,Premium,Assurance Vie,Retrait DAB,Marseille-Vieux-Port
TXN001632,CLI0055,7,2,2023-06-11 08:30:00,99999.99,EUR,1.0,Debit,Rejete,39672.27,true,703.0,3,Standard,Livret A,Remboursement credit,Bordeaux-Meriadeck
TXN001509,CLI0141,21,4,2022-12-08 10:41:00,1122.89,EUR,1.0,Credit,Complete,46990.84,false,726.0,1,Premium,Credit Consommation,Depot especes,Lille-Grand-Place
TXN000960,CLI0092,39,8,2023-03-23 13:03:00,-1759.73,EUR,1.0,Debit,Rejete,22077.93,false,717.0,3,Standard,PEA,Interets,Nantes-Commerce
TXN001344,CLI0065,10,2,2024-10-16 14:42:03,2901.33,EUR,1.0,Credit,Complete,40807.48,false,645.0,3,Standard,PEA,Remboursement credit,Bordeaux-Meriadeck
TXN000797,CLI0072,52,1,2023-05-22 21:52:00,-1316.02,GBP,0.86,Debit,Complete,25166.46,false,606.0,3,Standard,Livret A,Prelevement,Marseille-Vieux-Port
TXN000712,CLI0012,53,4,2023-10-06 03:29:00,2250.57,EUR,1.0,Credit,Complete,12605.23,false,778.0,1,Premium,Compte Epargne,Interets,Lille-Grand-Place
TXN001868,CLI0048,22,5,2023-06-04 10:55:00,2770.05,EUR,1.0,Credit,Complete,49939.8,false,670.0,3,Standard,Compte Epargne,Prelevement,Toulouse-Capitole
TXN001441,CLI0117,13,4,2023-08-29 04:34:00,2361.42,CHF,0.97,Credit,Complete,28310.46,false,645.0,3,Standard,Credit Consommation,Prelevement,Lille-Grand-Place
TXN000856,CLI0112,25,1,2024-03-07 00:35:00,6307.96,CHF,0.97,Credit,Complete,28966.62,true,636.0,3,Standard,Livret A,Virement international,Marseille-Vieux-Port
TXN000938,CLI0019,26,4,2024-12-17 15:12:00,6692.74,EUR,1.0,Credit,Complete,17888.61,true,505.0,2,Risque,Credit Auto,Virement international,Lille-Grand-Place
TXN001802,CLI0016,54,2,2023-01-02 08:34:00,-2509.01,GBP,0.86,Debit,Complete,127.18,false,716.0,3,Standard,Livret A,Virement,Bordeaux-Meriadeck
TXN000857,CLI0038,26,2,2023-10-11 00:09:00,7192.71,USD,1.08,Credit,Complete,5768.98,true,516.0,2,Risque,Credit Auto,Virement international,Bordeaux-Meriadeck
TXN000606,CLI0141,7,4,2023-06-07 05:15:00,2896.9,EUR,1.0,Credit,Complete,10490.31,false,726.0,1,Premium,Livret A,Remboursement credit,Lille-Grand-Place
TXN000714,CLI0121,30,1,2022-12-16 00:38:00,-68.25,GBP,0.86,Debit,Complete,33602.47,false,645.0,1,Premium,Compte Epargne,Paiement CB,Marseille-Vieux-Port
TXN001606,CLI0099,40,8,2022-08-23 01:58:00,137.91,EUR,1.0,Credit,Complete,6172.97,false,664.0,3,Standard,Credit Auto,Interets,Nantes-Commerce
TXN000137,CLI0006,10,5,2022-01-07 23:13:00,-1756.02,EUR,1.0,Debit,Complete,27104.06,false,620.0,3,Standard,PEA,Remboursement credit,Toulouse-Capitole
TXN001326,CLI0107,55,4,2023-06-07 06:00:00,-2973.53,EUR,1.0,Debit,Complete,24184.96,true,420.0,2,Risque,Compte Courant,Depot especes,Lille-Grand-Place
TXN000871,CLI0008,3,8,2022-02-21 23:46:00,-435.12,EUR,1.0,Debit,Complete,32660.88,false,744.0,1,Premium,PEA,Prelevement,Nantes-Commerce
TXN000800,CLI0016,6,2,2023-09-16 03:17:00,1122.55,EUR,1.0,Credit,Complete,44765.8,false,716.0,3,Standard,Compte Epargne,Remboursement credit,Bordeaux-Meriadeck
TXN001044,CLI0020,11,2,2023-01-20 01:13:00,-164.93,EUR,1.0,Debit,Complete,21342.99,false,660.0,3,Standard,Compte Epargne,Retrait DAB,Bordeaux-Meriadeck
TXN001930,CLI0085,51,5,2023-10-06 03:29:00,176.41,EUR,1.0,Credit,En attente,21088.49,true,390.0,2,Risque,Assurance Vie,Retrait DAB,Toulouse-Capitole
TXN000879,CLI0120,56,3,2024-03-30 06:16:00,560.23,EUR,1.0,Credit,Rejete,5234.44,false,718.0,3,Standard,Assurance Vie,Interets,Lyon-Part-Dieu
TXN000768,CLI0112,18,1,2022-07-23 10:04:00,362.61,EUR,1.0,Credit,Complete,35067.02,false,636.0,3,Standard,Credit Immobilier,Paiement CB,Marseille-Vieux-Port
TXN001579,CLI0084,43,2,2022-01-30 09:20:00,-1299.59,EUR,1.0,Debit,Complete,44633.93,false,684.0,3,Standard,Credit Auto,Remboursement credit,Bordeaux-Meriadeck
TXN000393,CLI0018,50,2,2022-09-23 05:55:00,-142.26,GBP,0.86,Debit,Complete,28593.51,true,328.0,2,Risque,Credit Consommation,Virement,Bordeaux-Meriadeck
TXN000016,CLI0111,12,7,2022-02-22 02:14:00,7702.91,EUR,1.0,Credit,Rejete,33646.85,true,645.0,3,Standard,Compte Courant,Virement international,Paris-Centre
TXN001065,CLI0082,43,7,2024-04-07 15:48:00,1418.55,EUR,1.0,Credit,Complete,43679.76,false,813.0,1,Premium,Credit Auto,Remboursement credit,Paris-Centre
TXN001332,CLI0124,37,5,2022-04-27 13:25:00,-2454.43,USD,1.08,Debit,Rejete,16755.91,false,585.0,3,Standard,Credit Auto,Prelevement,Toulouse-Capitole
TXN000565,CLI0098,13,2,2024-01-02 13:22:00,-216.53,EUR,1.0,Debit,Complete,29667.33,false,580.0,3,Standard,Credit Consommation,Prelevement,Bordeaux-Meriadeck
TXN001533,CLI0002,57,3,2023-08-08 01:15:00,-48.15,USD,1.08,Debit,En attente,20336.45,false,606.0,3,Standard,PEA,Retrait DAB,Lyon-Part-Dieu
TXN000203,CLI0026,34,4,2024-02-26 11:27:00,-977.79,USD,1.08,Debit,Complete,12483.53,false,699.0,3,Standard,Assurance Vie,Depot especes,Lille-Grand-Place
TXN001357,CLI0070,58,8,2024-07-13 10:07:00,1526.37,EUR,1.0,Credit,Complete,24113.97,true,645.0,2,Risque,Credit Auto,Depot especes,Nantes-Commerce
TXN000799,CLI0052,13,2,2024-02-18 13:33:00,954.02,GBP,0.86,Credit,Complete,21361.19,false,838.0,1,Premium,Credit Consommation,Prelevement,Bordeaux-Meriadeck
TXN000045,CLI0095,25,8,2023-07-20 06:07:00,7602.28,EUR,1.0,Credit,Complete,32121.05,true,668.0,3,Standard,Livret A,Virement international,Nantes-Commerce
TXN000314,CLI0083,10,3,2022-08-21 12:16:00,-1643.7,CHF,0.97,Debit,Complete,25485.91,false,643.0,3,Standard,PEA,Remboursement credit,Lyon-Part-Dieu
TXN001469,CLI0004,36,2,2024-02-10 17:09:03,857.95,USD,1.08,Credit,Complete,17530.26,false,645.0,3,Standard,Credit Immobilier,Virement international,Bordeaux-Meriadeck
TXN000981,CLI0050,16,3,2022-02-22 11:13:00,881.42,EUR,1.0,Credit,Complete,26092.61,false,666.0,3,Standard,Compte Epargne,Virement,Lyon-Part-Dieu
TXN000672,CLI0008,56,8,2022-02-19 18:51:00,-1897.58,EUR,1.0,Debit,Complete,23731.47,false,744.0,1,Premium,Assurance Vie,Interets,Nantes-Commerce
TXN001535,CLI0045,47,2,2022-08-06 04:53:00,-408.84,EUR,1.0,Debit,Complete,27791.58,false,704.0,3,Standard,Compte Courant,Retrait DAB,Bordeaux-Meriadeck
TXN000790,CLI0048,14,5,2022-07-27 13:31:00,-632.76,EUR,1.0,Debit,Complete,45664.14,false,670.0,3,Standard,Credit Immobilier,Remboursement credit,Toulouse-Capitole
